Id,EventDate,Email,FirstName,LastName,Gate,Company,Task,StartTime,EndTime,ToBeProcessed,ProcessedDateTime,ProcessTask,ExcelUpload,DinerVoucher,ParkingTicket,created_by,created_at,modified_by,modified_at,PassNumber,ClothingSize,evenement_id,Location,ticketNumber,ticketCode,ticketId,TixngoStatus,TixngoErrorMessage,XScontrolStatus,XScontrolErrorMessage,ToBeProcessedXSControl,vak,rij,stoel
1,2025-03-16,emma.de_jong@email.nl,Emma,De Jong,C,2,Coördinator,18:00,22:00,0,,Archive,1,0,0,4,2025-03-16 07:59:00,9,2025-03-16 12:34:00,P13478,XL,1,Zuidtribune,TKT-AJX001-1000,BC896233790,008495DE,Error,,Pending,,0,117,25,11
2,2025-03-16,eva.bakker@email.nl,Eva,Bakker,F,2,Steward,18:00,22:00,1,,Send,3,1,1,1,2025-03-16 10:06:00,8,2025-03-16 12:17:00,P26361,L,1,Noordtribune,TKT-AJX001-1001,BC398362082,3102C763,Opened,,Pending,,1,109,19,13
3,2025-03-16,daan.de_jong@email.nl,Daan,De Jong,B,4,Steward,18:00,22:00,1,2025-03-16 17:35:00,Archive,3,0,1,6,2025-03-16 07:53:00,5,2025-03-16 12:59:00,P99593,XXL,1,Noordtribune,TKT-AJX001-1002,BC810026086,5BD89EB1,Delivered,,OK,,1,114,9,36
4,2025-03-16,anouk.mulder@email.nl,Anouk,Mulder,A,6,Medisch,18:00,22:00,1,,Send,2,1,0,8,2025-03-16 08:41:00,8,2025-03-16 10:36:00,P44718,S,1,Zuidtribune,TKT-AJX001-1003,BC448195935,1458D276,Opened,,Error,,1,103,12,15
5,2025-03-16,lars.van_dijk@email.nl,Lars,Van Dijk,B,3,Coördinator,18:00,22:00,0,2025-03-16 18:41:00,Archive,5,0,1,7,2025-03-16 09:32:00,8,2025-03-16 12:15:00,P42953,XL,1,Noordtribune,TKT-AJX001-1004,BC629908599,5450B88F,Sent,,Pending,,1,105,4,19
6,2025-03-16,eva.visser@email.nl,Eva,Visser,L,5,Schoonmaak,18:00,22:00,0,2025-03-16 18:04:00,Send,3,0,0,6,2025-03-16 10:15:00,3,2025-03-16 12:18:00,P79514,XS,1,VIP,TKT-AJX001-1005,BC587182120,57E15098,Opened,,OK,,1,100,8,4
7,2025-03-16,anouk.meijer@email.nl,Anouk,Meijer,B,9,Beveiliging,18:00,22:00,0,2025-03-16 18:24:00,Archive,5,0,1,9,2025-03-16 10:43:00,10,2025-03-16 11:48:00,P37760,XL,1,Persbox,TKT-AJX001-1006,BC184564737,6E9F30C4,Delivered,,Error,,1,105,15,34
8,2025-03-16,joost.jansen@email.nl,Joost,Jansen,A,10,Schoonmaak,18:00,22:00,0,,Validate,1,0,0,4,2025-03-16 07:17:00,1,2025-03-16 13:40:00,P53309,XS,1,VIP,TKT-AJX001-1007,BC366186631,9ADE8E2D,Delivered,,Error,,0,114,24,37
9,2025-03-16,noor.van_den_berg@email.nl,Noor,Van den Berg,D,2,Steward,18:00,22:00,1,2025-03-16 17:45:00,Archive,4,1,0,2,2025-03-16 07:15:00,7,2025-03-16 13:06:00,P54473,XS,1,Zuidtribune,TKT-AJX001-1008,BC942478695,B0175AA7,Delivered,,Error,,0,130,9,30
10,2025-03-16,anouk.dekker@email.nl,Anouk,Dekker,I,2,Steward,18:00,22:00,0,2025-03-16 17:11:00,Validate,2,1,1,8,2025-03-16 07:54:00,7,2025-03-16 13:51:00,P17685,S,1,Westtribune,TKT-AJX001-1009,BC180943908,09EFFCB5,Sent,,Error,,1,128,10,28
11,2025-03-16,lisa.mulder@email.nl,Lisa,Mulder,E,4,Steward,18:00,22:00,0,,Assign,1,0,1,9,2025-03-16 10:55:00,9,2025-03-16 10:40:00,P17455,XL,1,Noordtribune,TKT-AJX001-1010,BC871385010,69AA2C02,Delivered,Timeout bij verzenden,OK,,0,131,13,8
12,2025-03-16,anouk.meijer@email.nl,Anouk,Meijer,G,10,Schoonmaak,18:00,22:00,1,2025-03-16 18:59:00,Assign,2,1,0,5,2025-03-16 08:41:00,3,2025-03-16 12:51:00,P94607,M,1,Westtribune,TKT-AJX001-1011,BC738360085,E2AEE606,Opened,,OK,Kaart niet herkend,0,102,3,35
